1;4365
2;27088
3;585
4;1104
5;54581
6;7084
7;819
8;12192
9;1649
10;12609
11;6440
12;1546
13;3656
14;2376
15;1935
16;6782
17;3255
18;1460
19;10185
20;603
21;6836
22;4501
23;1221
24;3116
25;794
26;2852
27;4135
28;2472
29;9119
30;4283
31;2241
32;1361
33;610
34;20652
35;2057
36;1700
37;1735
38;7466
39;1445
40;22640
41;4000
42;2184
43;14044
44;1441
45;3387
46;8068
47;18045
48;2624
49;1260
50;2789
51;1531
52;7728
53;2183
54;13687
55;4419
56;5107
57;2112
58;295
59;15190
60;4321
61;4056
62;4362
63;627
64;4779
65;2836
66;6752
67;701
68;1715
69;7879
70;16565
71;2383
72;3735
73;1262
74;1650
75;1559
76;2867
77;4418
78;14999
79;5923
80;2907
81;2987
82;10262
83;1681
84;1989
85;2455
86;8981
87;3951
88;8462
89;1822
90;6909
91;1857
92;2129
93;310
94;4178
95;2130
96;2949
97;1494
98;4924
99;2194
100;1523
101;11998
102;2679
103;1430
104;5444
105;1080
106;18543
107;1782
108;11326
109;7355
110;6589
111;1383
112;2326
113;1809
114;1668
115;2796
116;6793
117;1027
118;2346
119;2476
120;3481
121;5153
122;16115
123;2679
124;1076
125;3342
126;6061
127;752
128;2575
129;1875
130;3929
131;4875
132;1754
133;6228
134;1106
135;560
136;4626
137;2401
138;9450
139;59739
140;22123
141;8846
142;7397
143;1017
144;1341
145;16143
146;1936
147;1127
148;16989
149;2292
150;2726
151;973
152;3341
153;10134
154;14970
155;5116
156;1384
157;2101
158;2771
159;1511
160;2164
161;2531
162;453
163;2370
164;351
165;862
166;3727
167;9588
168;536
169;3867
170;3300
171;3613
172;5797
173;7357
174;1010
175;3808
176;13029
177;2822
178;1547
179;2039
180;2685
181;14940
182;1478
183;10753
184;437
185;5475
186;667
187;567
188;3637
189;913
190;1722
191;5946
192;11560
193;19340
194;3275
195;5573
196;7152
197;1303
198;6401
199;6947
200;1000
201;3728
202;502
203;6336
204;509
205;4521
206;2217
207;1323
208;1347
209;640
210;1384
211;451
212;3477
213;2241
214;2468
215;6074
216;11402
217;5304
218;6626
219;447
220;1311
221;7805
222;1561
223;569
224;1672
225;14639
226;4277
227;19092
228;11069
229;2382
230;10766
231;4188
232;1648
233;2547
234;980
235;879
236;3592
237;4853
238;2075
239;1669
240;2862
241;6609
242;5233
243;1075
244;408
245;2209
246;4493
247;590
248;6777
249;5334
250;844
251;2127
252;9459
253;8766
254;3383
255;3204
256;5397
257;1632
258;19551
259;13942
260;3746
261;3824
262;2112
263;1178
264;3215
265;6976
266;1884
267;2065
268;1046
269;3422
270;1917
271;3145
272;1217
273;549
274;751
275;8537
276;2467
277;11854
278;1240
279;8637
280;6621
281;5669
282;3195
283;1988
284;8708
285;2407
286;732
287;2913
288;2139
289;1600
290;2467
291;5731
292;628
293;8566
294;6621
295;3806
296;1172
297;8038
298;497
299;16138
300;3264
301;2958
302;2320
303;1579
304;20700
305;22093
306;2574
307;4688
308;8138
309;5967
310;12101
311;1515
312;6703
313;1847
314;5499
315;8398
316;5523
317;1183
318;5593
319;4693
320;9533
321;4984
322;12336
323;5465
324;21289
325;2123
326;5763
327;1472
328;2833
329;240
330;7343
331;4565
332;1333
333;5985
334;973
335;2766
336;1513
337;569
338;15723
339;1622
340;3705
341;2197
342;1329
343;695
344;2786
345;1772
346;4511
347;667
348;1568
349;1773
350;417
351;11621
352;5555
353;4337
354;689
355;1112
356;6917
357;4153
358;3696
359;795
360;6437
361;3430
362;12249
363;10942
364;1555
365;3886
366;3014
367;3081
368;2290
369;625
370;1963
371;2556
372;951
373;923
374;6881
375;1083
376;8026
377;1840
378;2925
379;511
380;1911
381;3450
382;1431
383;1899
384;5003
385;7609
386;4232
387;1387
388;53898
389;15834
390;1227
391;1162
392;4947
393;2374
394;4951
395;1310
396;9434
397;3457
398;10657
399;5119
400;2266
401;956
402;2427
403;3366
404;4938
405;956
406;2056
407;4170
408;5181
409;5386
410;791
411;794
412;5495
413;16447
414;612
415;2542
416;2177
417;1669
418;2253
419;10385
420;3425
421;1068
422;2839
423;533
424;2703
425;2551
426;3368
427;1400
428;7541
429;2933
430;3199
431;2991
432;7954
433;20480
434;2020
435;3117
436;11714
437;6557
438;5966
439;2310
440;18060
441;4165
442;26940
443;2166
444;4404
445;1230
446;3799
447;3593
448;4461
449;2340
450;1485
451;1342
452;25139
453;2340
454;2476
455;4312
456;5686
457;4859
458;520
459;4096
460;1339
461;3773
462;4746
463;4549
464;3128
465;681
466;1293
467;10171
468;486
469;146
470;1339
471;5795
472;4229
473;2715
474;941
475;3413
476;3530
477;1086
478;3789
479;3905
480;8985
481;3453
482;7368
483;2451
484;4634
485;9777
486;1104
487;10635
488;4621
489;6004
490;2656
491;4377
492;5167
493;6631
494;3026
495;769
496;2792
497;2446
498;3147
499;1061
500;3274
501;5883
502;605
503;1526
504;4843
505;606
506;3370
507;2846
508;8300
509;2395
510;986
511;2656
512;4608
513;3089
514;2733
515;378
516;2709
517;1434
518;1002
519;1788
520;6502
521;2493
522;1901
523;3133
524;1308
525;2267
526;4670
527;1211
528;350
529;4730
530;4812
531;495
532;3131
533;1959
534;673
535;1013
536;1210
537;1578
538;6960
539;2872
540;1259
541;3352
542;17578
543;1792
544;4120
545;1330
546;13332
547;4090
548;323
549;2574
550;2321
551;2969
552;3659
553;5801
554;1078
555;17801
556;7645
557;507
558;1124
559;2394
560;5009
561;917
562;2923
563;4611
564;1725
